id	definition_source	definition	definition_pp	definition_description	specific	specific_pp	level_5	level_5_pp	subclass	subclass_pp	class	class_pp	superclass	superclass_pp
1143	subclass	Triterpenoids	0.7180	Terpene molecules containing 8 isoprene units.	Triterpenoids	0.7180			Triterpenoids	0.7180	Prenol lipids	0.4750	Lipids and lipid-like molecules	0.5620
1144	superclass	Lignans, neolignans and related compounds	0.9720	Plant products of low molecular weight formed primarily from oxidative coupling of two p-propylphenol moieties. They can also be described as micromolecules with two phenylpropanoid units coupled together. They can be attached in various manners, like C5-C5', C8-C8'. Most known natural lignans are oxidized at C9 and C9´ and, based upon the way in which oxygen is incorporated into the skeleton and on the cyclization patterns, a wide range of lignans of very different structural types can be formed.	Lignans, neolignans and related compounds	0.9720							Lignans, neolignans and related compounds	0.9720
1145	subclass	Fatty acid esters	0.8530	Carboxylic ester derivatives of a fatty acid.	Fatty acid esters	0.8530			Fatty acid esters	0.8530	Fatty Acyls	0.9910	Lipids and lipid-like molecules	0.9920
1146	subclass	Anisoles	0.9300	Organic compounds containing a methoxybenzene or a derivative thereof.	Anisoles	0.9300			Anisoles	0.9300	Phenol ethers	0.9270	Benzenoids	0.9840
1147	class	Furanoid lignans	0.5380	Lignans with a structure that contains either a tetrahydrofuran ring, a furan ring, or a furofuan ring system, that arises from the joining of the two phenylpropanoid units.	Furanoid lignans	0.5380					Furanoid lignans	0.5380	Lignans, neolignans and related compounds	0.9130
1148	level_5	Medium-chain fatty acids	0.8770	Fatty acids with an aliphatic tail that contains between 4 and 12 carbon atoms.	Medium-chain fatty acids	0.8770	Medium-chain fatty acids	0.8770	Fatty acids and conjugates	0.9080	Fatty Acyls	0.9350	Lipids and lipid-like molecules	0.9550
1149	level_5	Fatty acyl glycosides of mono- and disaccharides	0.7980	Compounds composed of a mono- or disaccharide moiety linked to one hydroxyl group of a fatty alcohol or of a phosphorylated alcohol (phosphoprenols), a hydroxy fatty acid or to one carboxyl group of a fatty acid (ester linkage) or to an amino alcohol.	Fatty acyl glycosides of mono- and disaccharides	0.7980	Fatty acyl glycosides of mono- and disaccharides	0.7980	Fatty acyl glycosides	0.7930	Fatty Acyls	0.9860	Lipids and lipid-like molecules	0.9880
1150	level_5	Amino acids and derivatives	0.8910	Organic compounds containing an amine group, a carboxylic acid group (or a derivative thereof), and a side-chain that is specific to each amino acid.	Alpha amino acids and derivatives	0.0280	Amino acids and derivatives	0.8910	Amino acids, peptides, and analogues	0.8870	Carboxylic acids and derivatives	0.9300	Organic acids and derivatives	0.9330
1151	subclass	Lineolic acids and derivatives	0.8320	Derivatives of lineolic acid. Lineolic acid is a polyunsaturated omega-6 18 carbon long fatty acid, with two CC double bonds at the 9- and 12-positions.	Lineolic acids and derivatives	0.8320			Lineolic acids and derivatives	0.8320	Fatty Acyls	0.9980	Lipids and lipid-like molecules	0.9990
1153	level_5	Amino acids and derivatives	0.7170	Organic compounds containing an amine group, a carboxylic acid group (or a derivative thereof), and a side-chain that is specific to each amino acid.	Amino acids and derivatives	0.7170	Amino acids and derivatives	0.7170	Amino acids, peptides, and analogues	0.7090	Carboxylic acids and derivatives	0.8460	Organic acids and derivatives	0.9720
1154	level_5	Unsaturated fatty acids	0.5470	Fatty acids with a chain that contains at least one CC double bond.	Unsaturated fatty acids	0.5470	Unsaturated fatty acids	0.5470	Fatty acids and conjugates	0.6140	Fatty Acyls	0.6850	Lipids and lipid-like molecules	0.6930
1155	level_5	Coumaric acids and derivatives	0.6300	Aromatic compounds containing Aromatic compounds containing a cinnamic acid moiety (or a derivative thereof) hydroxylated at the C2 (ortho-), C3 (meta-), or C4 (para-) carbon atom of the benzene ring.	Coumaric acids and derivatives	0.6300	Coumaric acids and derivatives	0.6300	Hydroxycinnamic acids and derivatives	0.4360	Cinnamic acids and derivatives	0.8720	Phenylpropanoids and polyketides	0.9260
1156	class	Azaphilones	0.6890	A structurally variable family of fungal polyketide metabolites possessing a highly oxygenated pyranoquinone bicyclic core, usually known as isochromene, and a quaternary carbon center.	Azaphilones	0.6890					Azaphilones	0.6890	Organoheterocyclic compounds	0.9890
1157	subclass	Dicarboxylic acids and derivatives	0.9260	Organic compounds containing exactly two carboxylic acid groups.	Dicarboxylic acids and derivatives	0.9260			Dicarboxylic acids and derivatives	0.9260	Carboxylic acids and derivatives	0.9890	Organic acids and derivatives	0.9960
1158	subclass	Beta hydroxy acids and derivatives	0.5060	Compounds containing a carboxylic acid substituted with a hydroxyl group on the C3 carbon atom.	Beta hydroxy acids and derivatives	0.5060			Beta hydroxy acids and derivatives	0.5060	Hydroxy acids and derivatives	0.5540	Organic acids and derivatives	0.9900
1159	class	Fatty Acyls	0.9430	Organic molecules synthesized by chain elongation of an acetyl-CoA primer with malonyl-CoA (or methylmalonyl-CoA) groups that might contain a cyclic functionality and/or are substituted with heteroatoms.	Fatty Acyls	0.9430					Fatty Acyls	0.9430	Lipids and lipid-like molecules	0.9590
1160	level_5	Branched fatty acids	0.7380	Fatty acids containing a branched chain.	Methyl-branched fatty acids	0.7640	Branched fatty acids	0.7380	Fatty acids and conjugates	0.9830	Fatty Acyls	0.9900	Lipids and lipid-like molecules	0.9950
1161	subclass	Dicarboxylic acids and derivatives	0.7440	Organic compounds containing exactly two carboxylic acid groups.	Dicarboxylic acids and derivatives	0.7440			Dicarboxylic acids and derivatives	0.7440	Carboxylic acids and derivatives	0.9400	Organic acids and derivatives	0.9320
1162	level_5	Monosaccharides	0.9780	Compounds containing one carbohydrate unit not glycosidically linked to another such unit, and no set of two or more glycosidically linked carbohydrate units. Monosaccharides have the general formula CnH2nOn.	Hexoses	0.7620	Monosaccharides	0.9780	Carbohydrates and carbohydrate conjugates	0.9790	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
1163	subclass	Dicarboxylic acids and derivatives	0.8090	Organic compounds containing exactly two carboxylic acid groups.	Dicarboxylic acids and derivatives	0.8090			Dicarboxylic acids and derivatives	0.8090	Carboxylic acids and derivatives	0.9890	Organic acids and derivatives	0.9970
1164	level_5	Medium-chain fatty acids	0.9040	Fatty acids with an aliphatic tail that contains between 4 and 12 carbon atoms.	Medium-chain fatty acids	0.9040	Medium-chain fatty acids	0.9040	Fatty acids and conjugates	0.9550	Fatty Acyls	0.9800	Lipids and lipid-like molecules	0.9900
1165	class	Lignan glycosides	0.7720	Aromatic polycyclic compounds containing a carbohydrate component glycosidically linked to a lignan moiety. They include 1-aryltetralin lactones.	Lignan glycosides	0.7720					Lignan glycosides	0.7720	Lignans, neolignans and related compounds	0.9880
1166	level_5	Disaccharides	0.8480	Compounds containing two carbohydrate moieties linked to each to each other through a glycosidic bond, no set of three or more glycosidically linked carbohydrate units.	Disaccharides	0.8480	Disaccharides	0.8480	Carbohydrates and carbohydrate conjugates	1.0000	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
1167	level_5	Branched fatty acids	0.9380	Fatty acids containing a branched chain.	Methyl-branched fatty acids	0.9330	Branched fatty acids	0.9380	Fatty acids and conjugates	0.9860	Fatty Acyls	0.9850	Lipids and lipid-like molecules	0.9930
1169	class	Furanoid lignans	0.5200	Lignans with a structure that contains either a tetrahydrofuran ring, a furan ring, or a furofuan ring system, that arises from the joining of the two phenylpropanoid units.	Furanoid lignans	0.5200					Furanoid lignans	0.5200	Lignans, neolignans and related compounds	0.9950
1170	class	Fatty Acyls	0.9680	Organic molecules synthesized by chain elongation of an acetyl-CoA primer with malonyl-CoA (or methylmalonyl-CoA) groups that might contain a cyclic functionality and/or are substituted with heteroatoms.	Amino fatty acids	0.0000	Amino fatty acids	0.0000	Fatty acids and conjugates	0.0330	Fatty Acyls	0.9680	Lipids and lipid-like molecules	0.9980
1171	level_5	Alkyl glycosides	0.6210	Lipids containing a glycosyl moiety (one or several units) linked to the hydroxyl group of a fatty alcohol.	Alkyl glycosides	0.6210	Alkyl glycosides	0.6210	Fatty acyl glycosides	0.6510	Fatty Acyls	0.9500	Lipids and lipid-like molecules	0.9470
1172	subclass	Monoradylglycerols	0.6760	Glycerolipids that carry exactly one acyl chain attached to the glycerol moiety.	Monoradylglycerols	0.6760			Monoradylglycerols	0.6760	Glycerolipids	0.9610	Lipids and lipid-like molecules	0.9930
1173	level_5	Glycosyl compounds	0.8380	Carbohydrate derivatives in which a sugar group is bonded through its anomeric carbon to another group via a C-, S-,N-,O-, or Se- glycosidic bond.	Glycosyl compounds	0.8380	Glycosyl compounds	0.8380	Carbohydrates and carbohydrate conjugates	0.9840	Organooxygen compounds	0.9990	Organic oxygen compounds	1.0000
1174	subclass	Hexacarboxylic acids and derivatives	0.6650	Carboxylic acids containing exactly six carboxyl groups.	Hexacarboxylic acids and derivatives	0.6650			Hexacarboxylic acids and derivatives	0.6650	Carboxylic acids and derivatives	0.9960	Organic acids and derivatives	0.9990
1175	subclass	Furofuran lignans	0.8080	Lignans with a structure based on 1,4-diphenyl-hexahydrofuro[3,4-c]furan skeleton.	Furofuran lignans	0.8080			Furofuran lignans	0.8080	Furanoid lignans	0.9290	Lignans, neolignans and related compounds	0.9640
1176	level_5	Iridoid O-glycosides	0.9230	Iridoid monoterpenes containing a glycosyl (usually a pyranosyl) moiety linked to the iridoid skeleton.	Iridoid O-glycosides	0.9230	Iridoid O-glycosides	0.9230	Terpene glycosides	0.9630	Prenol lipids	0.8830	Lipids and lipid-like molecules	0.7040
1177	class	Lignan glycosides	0.6130	Aromatic polycyclic compounds containing a carbohydrate component glycosidically linked to a lignan moiety. They include 1-aryltetralin lactones.	Lignan glycosides	0.6130					Lignan glycosides	0.6130	Lignans, neolignans and related compounds	0.6550
1178	subclass	Sesquiterpenoids	0.8810	Terpenes with three consecutive isoprene units.	Sesquiterpenoids	0.8810			Sesquiterpenoids	0.8810	Prenol lipids	0.9540	Lipids and lipid-like molecules	0.9750
1179	subclass	Lineolic acids and derivatives	0.8920	Derivatives of lineolic acid. Lineolic acid is a polyunsaturated omega-6 18 carbon long fatty acid, with two CC double bonds at the 9- and 12-positions.	Lineolic acids and derivatives	0.8920			Lineolic acids and derivatives	0.8920	Fatty Acyls	0.8920	Lipids and lipid-like molecules	0.9310
1180	subclass	Terpene glycosides	0.6080	Prenol lipids containing a carbohydrate moiety glycosidically bound to a terpene backbone.	Terpene glycosides	0.6080			Terpene glycosides	0.6080	Prenol lipids	0.9120	Lipids and lipid-like molecules	0.9610
1181	level_5	Disaccharides	0.9900	Compounds containing two carbohydrate moieties linked to each to each other through a glycosidic bond, no set of three or more glycosidically linked carbohydrate units.	Disaccharides	0.9900	Disaccharides	0.9900	Carbohydrates and carbohydrate conjugates	0.9920	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
1182	subclass	1-hydroxy-2-unsubstituted benzenoids	0.8890	Phenols that a unsubstituted at the 2-position.	1-hydroxy-2-unsubstituted benzenoids	0.8890			1-hydroxy-2-unsubstituted benzenoids	0.8890	Phenols	0.9100	Benzenoids	0.9960
1183	subclass	Terpene glycosides	0.9440	Prenol lipids containing a carbohydrate moiety glycosidically bound to a terpene backbone.	Terpene glycosides	0.9440			Terpene glycosides	0.9440	Prenol lipids	0.9470	Lipids and lipid-like molecules	0.8900
1185	level_5	Alkyl glycosides	0.9450	Lipids containing a glycosyl moiety (one or several units) linked to the hydroxyl group of a fatty alcohol.	Alkyl glycosides	0.9450	Alkyl glycosides	0.9450	Fatty acyl glycosides	0.9580	Fatty Acyls	0.9940	Lipids and lipid-like molecules	0.9940
1186	level_5	Glycosyl compounds	0.9390	Carbohydrate derivatives in which a sugar group is bonded through its anomeric carbon to another group via a C-, S-,N-,O-, or Se- glycosidic bond.	O-glycosyl compounds	0.9430	Glycosyl compounds	0.9390	Carbohydrates and carbohydrate conjugates	0.9830	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
1187	level_5	Disaccharides	0.9910	Compounds containing two carbohydrate moieties linked to each to each other through a glycosidic bond, no set of three or more glycosidically linked carbohydrate units.	Disaccharides	0.9910	Disaccharides	0.9910	Carbohydrates and carbohydrate conjugates	0.9960	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
1188	level_5	Glycosyl compounds	0.5090	Carbohydrate derivatives in which a sugar group is bonded through its anomeric carbon to another group via a C-, S-,N-,O-, or Se- glycosidic bond.	O-glycosyl compounds	0.7780	Glycosyl compounds	0.5090	Carbohydrates and carbohydrate conjugates	0.9960	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
1189	superclass	Lignans, neolignans and related compounds	0.5410	Plant products of low molecular weight formed primarily from oxidative coupling of two p-propylphenol moieties. They can also be described as micromolecules with two phenylpropanoid units coupled together. They can be attached in various manners, like C5-C5', C8-C8'. Most known natural lignans are oxidized at C9 and C9´ and, based upon the way in which oxygen is incorporated into the skeleton and on the cyclization patterns, a wide range of lignans of very different structural types can be formed.	Lignans, neolignans and related compounds	0.5410							Lignans, neolignans and related compounds	0.5410
1190	superclass	Lignans, neolignans and related compounds	0.5530	Plant products of low molecular weight formed primarily from oxidative coupling of two p-propylphenol moieties. They can also be described as micromolecules with two phenylpropanoid units coupled together. They can be attached in various manners, like C5-C5', C8-C8'. Most known natural lignans are oxidized at C9 and C9´ and, based upon the way in which oxygen is incorporated into the skeleton and on the cyclization patterns, a wide range of lignans of very different structural types can be formed.	Lignans, neolignans and related compounds	0.5530							Lignans, neolignans and related compounds	0.5530
1192	class	Lignan glycosides	0.9480	Aromatic polycyclic compounds containing a carbohydrate component glycosidically linked to a lignan moiety. They include 1-aryltetralin lactones.	Lignan glycosides	0.9480					Lignan glycosides	0.9480	Lignans, neolignans and related compounds	0.9720
1193	level_5	Butenolides	0.5720	Dihydrofurans with a carbonyl group at the C2 carbon atom.	Butenolides	0.5720	Butenolides	0.5720	Furanones	0.6880	Dihydrofurans	0.7000	Organoheterocyclic compounds	0.9200
1194	level_5	Disaccharides	0.9740	Compounds containing two carbohydrate moieties linked to each to each other through a glycosidic bond, no set of three or more glycosidically linked carbohydrate units.	Disaccharides	0.9740	Disaccharides	0.9740	Carbohydrates and carbohydrate conjugates	1.0000	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
1196	subclass	Triterpenoids	0.9970	Terpene molecules containing 8 isoprene units.	Triterpenoids	0.9970			Triterpenoids	0.9970	Prenol lipids	0.9950	Lipids and lipid-like molecules	0.9980
1197	class	Lignan glycosides	0.9510	Aromatic polycyclic compounds containing a carbohydrate component glycosidically linked to a lignan moiety. They include 1-aryltetralin lactones.	Lignan glycosides	0.9510					Lignan glycosides	0.9510	Lignans, neolignans and related compounds	0.8810
1198	subclass	Terpene glycosides	0.6160	Prenol lipids containing a carbohydrate moiety glycosidically bound to a terpene backbone.	Terpene glycosides	0.6160			Terpene glycosides	0.6160	Prenol lipids	0.4660	Lipids and lipid-like molecules	0.7150
1199	subclass	Beta hydroxy acids and derivatives	0.5040	Compounds containing a carboxylic acid substituted with a hydroxyl group on the C3 carbon atom.	Beta hydroxy acids and derivatives	0.5040			Beta hydroxy acids and derivatives	0.5040	Hydroxy acids and derivatives	0.5670	Organic acids and derivatives	0.9870
1201	level_5	Glycosyl compounds	0.8980	Carbohydrate derivatives in which a sugar group is bonded through its anomeric carbon to another group via a C-, S-,N-,O-, or Se- glycosidic bond.	Glycosylamines	0.0130	Glycosyl compounds	0.8980	Carbohydrates and carbohydrate conjugates	0.9540	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
1202	subclass	Carboxylic acids	0.8260	Compounds containing a carboxylic acid group with the formula -C(=O)OH.	Carboxylic acids	0.8260			Carboxylic acids	0.8260	Carboxylic acids and derivatives	0.9840	Organic acids and derivatives	0.9950
1203	level_5	Iridoid O-glycosides	0.9960	Iridoid monoterpenes containing a glycosyl (usually a pyranosyl) moiety linked to the iridoid skeleton.	Iridoid O-glycosides	0.9960	Iridoid O-glycosides	0.9960	Terpene glycosides	0.9980	Prenol lipids	0.9960	Lipids and lipid-like molecules	0.9910
1204	level_5	Iridoid O-glycosides	0.8770	Iridoid monoterpenes containing a glycosyl (usually a pyranosyl) moiety linked to the iridoid skeleton.	Iridoid O-glycosides	0.8770	Iridoid O-glycosides	0.8770	Terpene glycosides	0.9880	Prenol lipids	0.9760	Lipids and lipid-like molecules	0.9310
1205	level_5	C-nitro compounds	0.5940	Compounds having the nitro group, -NO2 (free valence on nitrogen), which is attached to carbon.	C-nitro compounds	0.5940	C-nitro compounds	0.5940	Organic nitro compounds	0.5800	Allyl-type 1,3-dipolar organic compounds	0.6570	Organic 1,3-dipolar compounds	0.8190
1206	level_5	Monosaccharides	0.6790	Compounds containing one carbohydrate unit not glycosidically linked to another such unit, and no set of two or more glycosidically linked carbohydrate units. Monosaccharides have the general formula CnH2nOn.	Monosaccharides	0.6790	Monosaccharides	0.6790	Carbohydrates and carbohydrate conjugates	0.8060	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
1207	class	Lignan glycosides	0.9740	Aromatic polycyclic compounds containing a carbohydrate component glycosidically linked to a lignan moiety. They include 1-aryltetralin lactones.	Lignan glycosides	0.9740					Lignan glycosides	0.9740	Lignans, neolignans and related compounds	0.9800
1208	subclass	Monocarboxylic acids and derivatives	0.5610	Carboxylic acids containing exactly one carboxyl groups.	Monocarboxylic acids and derivatives	0.5610			Monocarboxylic acids and derivatives	0.5610	Carboxylic acids and derivatives	0.6590	Organic acids and derivatives	0.6100
1209	subclass	Dicarboxylic acids and derivatives	0.9260	Organic compounds containing exactly two carboxylic acid groups.	Dicarboxylic acids and derivatives	0.9260			Dicarboxylic acids and derivatives	0.9260	Carboxylic acids and derivatives	0.9910	Organic acids and derivatives	0.9980
1210	level_5	Flavins	0.9830	Compounds containing a flavin (7,8-dimethyl-benzo[g]pteridine-2,4-dione) moiety, with a structure characterized by an isoalloaxzine tricyclic ring.	Flavins	0.9830	Flavins	0.9830	Alloxazines and isoalloxazines	0.9630	Pteridines and derivatives	0.8300	Organoheterocyclic compounds	0.9980
1211	subclass	1-hydroxy-2-unsubstituted benzenoids	0.8360	Phenols that a unsubstituted at the 2-position.	1-hydroxy-2-unsubstituted benzenoids	0.8360			1-hydroxy-2-unsubstituted benzenoids	0.8360	Phenols	0.8260	Benzenoids	0.9940
1212	subclass	Anisoles	0.5660	Organic compounds containing a methoxybenzene or a derivative thereof.	Anisoles	0.5660			Anisoles	0.5660	Phenol ethers	0.5530	Benzenoids	0.1260
1213	level_5	Monosaccharides	0.9700	Compounds containing one carbohydrate unit not glycosidically linked to another such unit, and no set of two or more glycosidically linked carbohydrate units. Monosaccharides have the general formula CnH2nOn.	Hexoses	0.7790	Monosaccharides	0.9700	Carbohydrates and carbohydrate conjugates	0.9990	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
1214	level_5	Monosaccharides	0.9330	Compounds containing one carbohydrate unit not glycosidically linked to another such unit, and no set of two or more glycosidically linked carbohydrate units. Monosaccharides have the general formula CnH2nOn.	Hexoses	0.8860	Monosaccharides	0.9330	Carbohydrates and carbohydrate conjugates	0.9480	Organooxygen compounds	0.9990	Organic oxygen compounds	1.0000
1215	level_5	Monosaccharides	0.7850	Compounds containing one carbohydrate unit not glycosidically linked to another such unit, and no set of two or more glycosidically linked carbohydrate units. Monosaccharides have the general formula CnH2nOn.	Hexoses	0.6330	Monosaccharides	0.7850	Carbohydrates and carbohydrate conjugates	0.9970	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
1216	null	null	null	null	Purine ribonucleoside monophosphates	0.0000	Purine ribonucleoside monophosphates	0.0000	Purine ribonucleotides	0.0000	Purine nucleotides	0.0000	Nucleosides, nucleotides, and analogues	0.0010
1217	level_5	Glycosyl compounds	0.8850	Carbohydrate derivatives in which a sugar group is bonded through its anomeric carbon to another group via a C-, S-,N-,O-, or Se- glycosidic bond.	Phenolic glycosides	0.6530	Glycosyl compounds	0.8850	Carbohydrates and carbohydrate conjugates	0.9950	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
1218	superclass	Lignans, neolignans and related compounds	0.5530	Plant products of low molecular weight formed primarily from oxidative coupling of two p-propylphenol moieties. They can also be described as micromolecules with two phenylpropanoid units coupled together. They can be attached in various manners, like C5-C5', C8-C8'. Most known natural lignans are oxidized at C9 and C9´ and, based upon the way in which oxygen is incorporated into the skeleton and on the cyclization patterns, a wide range of lignans of very different structural types can be formed.	Lignans, neolignans and related compounds	0.5530							Lignans, neolignans and related compounds	0.5530
1219	superclass	Lignans, neolignans and related compounds	0.9810	Plant products of low molecular weight formed primarily from oxidative coupling of two p-propylphenol moieties. They can also be described as micromolecules with two phenylpropanoid units coupled together. They can be attached in various manners, like C5-C5', C8-C8'. Most known natural lignans are oxidized at C9 and C9´ and, based upon the way in which oxygen is incorporated into the skeleton and on the cyclization patterns, a wide range of lignans of very different structural types can be formed.	Lignans, neolignans and related compounds	0.9810							Lignans, neolignans and related compounds	0.9810
1220	subclass	Terpene glycosides	0.9740	Prenol lipids containing a carbohydrate moiety glycosidically bound to a terpene backbone.	Terpene glycosides	0.9740			Terpene glycosides	0.9740	Prenol lipids	0.9710	Lipids and lipid-like molecules	0.9570
1222	subclass	Triterpenoids	0.9120	Terpene molecules containing 8 isoprene units.	Triterpenoids	0.9120			Triterpenoids	0.9120	Prenol lipids	0.9530	Lipids and lipid-like molecules	0.9930
1223	subclass	Fatty acid esters	0.5700	Carboxylic ester derivatives of a fatty acid.	Fatty acid esters	0.5700			Fatty acid esters	0.5700	Fatty Acyls	0.8000	Lipids and lipid-like molecules	0.8190
1224	level_5	Oligosaccharides	0.6170	Carbohydrates made up of 3 to 10 monosaccharide units linked to each other through glycosidic bonds.	Oligosaccharides	0.6170	Oligosaccharides	0.6170	Carbohydrates and carbohydrate conjugates	1.0000	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
1225	level_5	Amino acids and derivatives	0.5510	Organic compounds containing an amine group, a carboxylic acid group (or a derivative thereof), and a side-chain that is specific to each amino acid.	Amino acids and derivatives	0.5510	Amino acids and derivatives	0.5510	Amino acids, peptides, and analogues	0.5400	Carboxylic acids and derivatives	0.7170	Organic acids and derivatives	0.8360
1226	level_5	Secondary alcohols	0.5140	Compounds containing a secondary alcohol functional group, with the general structure HOC(R)(R') (R,R'=alkyl, aryl).	Secondary alcohols	0.5140	Secondary alcohols	0.5140	Alcohols and polyols	0.9370	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
1227	level_5	Hydroxybenzoic acid derivatives	0.5820	Compounds containing a hydroxybenzoic acid (or a derivative), which is a benzene ring bearing a carboxyl and a hydroxyl groups.	Hydroxybenzoic acid derivatives	0.5820	Hydroxybenzoic acid derivatives	0.5820	Benzoic acids and derivatives	0.6720	Benzene and substituted derivatives	0.8470	Benzenoids	0.9660
1228	superclass	Lipids and lipid-like molecules	0.5230	Fatty acids and their derivatives, and substances related biosynthetically or functionally to these compounds.	Lipids and lipid-like molecules	0.5230							Lipids and lipid-like molecules	0.5230
1230	subclass	Amino acids, peptides, and analogues	0.6780	Organic compounds containing an amino acid or a peptide backbone, or derivatives thereof.	Peptides	0.1280	Peptides	0.1280	Amino acids, peptides, and analogues	0.6780	Carboxylic acids and derivatives	0.9010	Organic acids and derivatives	0.9560
1232	level_5	Monosaccharides	0.9800	Compounds containing one carbohydrate unit not glycosidically linked to another such unit, and no set of two or more glycosidically linked carbohydrate units. Monosaccharides have the general formula CnH2nOn.	Hexoses	0.7480	Monosaccharides	0.9800	Carbohydrates and carbohydrate conjugates	0.9720	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
1233	level_5	Monosaccharides	0.9100	Compounds containing one carbohydrate unit not glycosidically linked to another such unit, and no set of two or more glycosidically linked carbohydrate units. Monosaccharides have the general formula CnH2nOn.	Hexoses	0.0050	Monosaccharides	0.9100	Carbohydrates and carbohydrate conjugates	0.8900	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
1234	subclass	Tricarboxylic acids and derivatives	0.6300	Carboxylic acids containing exactly three carboxyl groups.	Tricarboxylic acids and derivatives	0.6300			Tricarboxylic acids and derivatives	0.6300	Carboxylic acids and derivatives	0.9920	Organic acids and derivatives	0.9990
1235	level_5	Monosaccharides	0.6370	Compounds containing one carbohydrate unit not glycosidically linked to another such unit, and no set of two or more glycosidically linked carbohydrate units. Monosaccharides have the general formula CnH2nOn.	Monosaccharides	0.6370	Monosaccharides	0.6370	Carbohydrates and carbohydrate conjugates	0.4570	Organooxygen compounds	0.9980	Organic oxygen compounds	1.0000
1236	level_5	Glycosyl compounds	0.9860	Carbohydrate derivatives in which a sugar group is bonded through its anomeric carbon to another group via a C-, S-,N-,O-, or Se- glycosidic bond.	Phenolic glycosides	0.9870	Glycosyl compounds	0.9860	Carbohydrates and carbohydrate conjugates	0.9990	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
1237	class	Lignan glycosides	0.7140	Aromatic polycyclic compounds containing a carbohydrate component glycosidically linked to a lignan moiety. They include 1-aryltetralin lactones.	Lignan glycosides	0.7140					Lignan glycosides	0.7140	Lignans, neolignans and related compounds	0.6980
1238	level_5	Monosaccharides	0.9850	Compounds containing one carbohydrate unit not glycosidically linked to another such unit, and no set of two or more glycosidically linked carbohydrate units. Monosaccharides have the general formula CnH2nOn.	Hexoses	0.9300	Monosaccharides	0.9850	Carbohydrates and carbohydrate conjugates	0.9980	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
1239	superclass	Organic acids and derivatives	0.8730	Compounds an organic acid or a derivative thereof.	Alpha amino acids and derivatives	0.3540	Amino acids and derivatives	0.0430	Amino acids, peptides, and analogues	0.0450	Carboxylic acids and derivatives	0.0850	Organic acids and derivatives	0.8730
1240	level_5	Carboxylic acid esters	0.7290	Carboxylic acid derivatives in which the carbon atom from the carbonyl group is attached to an alkyl or an aryl moiety through an oxygen atom (forming an ester group).	Carboxylic acid esters	0.7290	Carboxylic acid esters	0.7290	Carboxylic acid derivatives	0.8810	Carboxylic acids and derivatives	0.9850	Organic acids and derivatives	0.9970
1241	level_5	Disaccharides	0.8830	Compounds containing two carbohydrate moieties linked to each to each other through a glycosidic bond, no set of three or more glycosidically linked carbohydrate units.	Disaccharides	0.8830	Disaccharides	0.8830	Carbohydrates and carbohydrate conjugates	0.9990	Organooxygen compounds	0.9960	Organic oxygen compounds	1.0000
1242	class	Pyrimidine nucleosides	0.5350	Compounds comprising a pyrimidine base attached to a ribosyl or deoxyribosyl moiety.	Pyrimidine nucleosides	0.5350					Pyrimidine nucleosides	0.5350	Nucleosides, nucleotides, and analogues	0.4570
1243	superclass	Nucleosides, nucleotides, and analogues	0.9500	Compounds containing a nucleobase linked to a ribose or deoxyribose sugar via a beta-glycosidic linkage. The ribose or deoxyribose moiety bears at least a phosphate group in case of nucleotides.	Pyrimidine nucleosides	0.1180					Pyrimidine nucleosides	0.1180	Nucleosides, nucleotides, and analogues	0.9500
1244	subclass	Anisoles	0.8290	Organic compounds containing a methoxybenzene or a derivative thereof.	Anisoles	0.8290			Anisoles	0.8290	Phenol ethers	0.9040	Benzenoids	0.9550
1245	class	Azoles	0.8520	Organic compounds comprising a five-member nitrogen heterocyclic ring containing at least one other non-carbon atom of either nitrogen, sulfur, or oxygen. The parent compounds are aromatic and have two double bonds; there are successively reduced analogs (azolines and azolidines) with fewer.	Azoles	0.8520					Azoles	0.8520	Organoheterocyclic compounds	0.8890
1246	level_5	Glycosyl compounds	0.9000	Carbohydrate derivatives in which a sugar group is bonded through its anomeric carbon to another group via a C-, S-,N-,O-, or Se- glycosidic bond.	Phenolic glycosides	0.8150	Glycosyl compounds	0.9000	Carbohydrates and carbohydrate conjugates	0.9940	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
